127.0.0.1 - - [06/Jun/2023:08:21:33 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 200 14693
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 200 225939
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 200 322664
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/istockphoto-868146602-612x612.jpg HTTP/1.1" 200 56389
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 200 306777
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:34 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 200 467440
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:42 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:43 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:43 +0200] "GET /proyecto/img/istockphoto-868146602-612x612.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:08:21:43 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:42:29 +0200] "GET /proyecto/pagina_caballos.jsp HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:42:29 +0200] "GET /proyecto/pagina_caballos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:42:29 +0200] "GET /proyecto/1.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:42:31 +0200] "GET /proyecto/pagina_herramientas.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:42:31 +0200] "GET /proyecto/pagina_herramientas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:43:59 +0200] "GET /proyecto/pagina_peluqueria.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:43:59 +0200] "GET /proyecto/pagina_peluqueria.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:43:59 +0200] "GET /proyecto/img/trenza_corrida.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:43:59 +0200] "GET /proyecto/img/trenza_dragonera.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:11:43:59 +0200] "GET /proyecto/img/casta%C3%B1etas.jpg HTTP/1.1" 304 -
